timestamp,open,high,low,close,volume
2022-03-15,9.6718,9.6718,9.6718,9.6718,7
2022-03-14,9.6718,9.6718,9.6718,9.6718,60
2022-03-11,9.7000,9.7000,9.6600,9.6718,759
2022-03-10,9.6600,9.7000,9.6600,9.7000,167657
2022-03-09,9.6600,9.6700,9.6500,9.6700,1017590
2022-03-08,9.6600,9.6600,9.6600,9.6600,0
2022-03-07,9.6600,9.6600,9.6600,9.6600,0
2022-03-04,9.6600,9.6600,9.6600,9.6600,3
2022-03-03,9.6450,9.6600,9.6450,9.6600,1604
2022-03-02,9.6000,9.6000,9.6000,9.6000,0
2022-03-01,9.6200,9.6200,9.6000,9.6000,1084
2022-02-28,9.6800,9.6800,9.6800,9.6800,8
2022-02-25,9.6800,9.6800,9.6800,9.6800,2
2022-02-24,9.6800,9.6800,9.6800,9.6800,1
2022-02-23,9.6800,9.6800,9.6800,9.6800,28
2022-02-22,9.6800,9.6800,9.6800,9.6800,110
2022-02-18,9.6800,9.6800,9.6800,9.6800,72
2022-02-17,9.6800,9.6800,9.6800,9.6800,33
2022-02-16,9.6800,9.6800,9.6800,9.6800,310
2022-02-15,9.7000,9.7200,9.6540,9.6751,3728
2022-02-14,9.6501,9.6501,9.6501,9.6501,1
2022-02-11,9.6850,9.6850,9.6300,9.6501,10565
2022-02-10,9.6668,9.6668,9.6500,9.6600,40511
2022-02-09,9.7154,9.7154,9.7000,9.7001,1236
2022-02-08,9.7234,9.7590,9.7100,9.7246,3433
2022-02-07,9.7000,9.8200,9.7000,9.8200,3467
2022-02-04,9.6850,9.6850,9.6850,9.6850,1
2022-02-03,9.6850,9.6850,9.6850,9.6850,3
2022-02-02,9.6600,9.6850,9.6600,9.6850,2023
2022-02-01,9.6700,9.6700,9.6700,9.6700,28105
2022-01-31,9.6500,9.6700,9.6500,9.6700,1109
2022-01-28,9.6100,9.6100,9.6100,9.6100,0
2022-01-27,9.5800,9.6100,9.5800,9.6100,335
2022-01-26,9.6800,9.6800,9.6800,9.6800,109
2022-01-25,9.6800,9.6800,9.6800,9.6800,209
2022-01-24,9.6300,9.6800,9.6000,9.6800,2966
2022-01-21,9.6500,9.6500,9.6500,9.6500,2
2022-01-20,9.6500,9.6500,9.6500,9.6500,5
2022-01-19,9.6500,9.6500,9.6500,9.6500,150002
2022-01-18,9.6600,9.7000,9.6500,9.6500,1521
