timestamp,open,high,low,close,volume
2022-03-15,3.8400,4.2000,3.8150,4.1500,7195345
2022-03-14,4.1500,4.1800,3.9200,4.0000,7654293
2022-03-11,4.2200,4.3800,4.1800,4.2700,5803843
2022-03-10,4.3000,4.4400,4.2800,4.3800,6936339
2022-03-09,4.1700,4.3200,4.0700,4.2900,8682017
2022-03-08,4.3000,4.6750,4.2300,4.3500,16740042
2022-03-07,4.1000,4.2700,4.0150,4.1600,8132628
2022-03-04,4.0400,4.1200,3.9950,4.0700,5543040
2022-03-03,4.0200,4.0800,3.9300,4.0300,5150976
2022-03-02,3.9900,4.0200,3.8850,3.9900,6041285
2022-03-01,3.7300,4.0900,3.7300,4.0900,7911907
2022-02-28,3.7400,3.7700,3.6600,3.7000,5554326
2022-02-25,3.6400,3.6900,3.5200,3.6900,5525287
2022-02-24,3.9600,3.9750,3.6000,3.7000,10342547
2022-02-23,3.5700,3.8400,3.5650,3.7600,6215973
2022-02-22,3.6700,3.6900,3.5200,3.5400,5669518
2022-02-18,3.8100,3.8100,3.6100,3.6300,3530988
2022-02-17,3.8000,3.8399,3.7300,3.8000,4804892
2022-02-16,3.7000,3.7550,3.6400,3.7300,3177210
2022-02-15,3.5400,3.6900,3.4500,3.6600,3654363
2022-02-14,3.6500,3.7300,3.6200,3.6600,4468641
2022-02-11,3.3900,3.6300,3.3700,3.5900,6470933
2022-02-10,3.3900,3.5900,3.3400,3.3600,6053124
2022-02-09,3.5200,3.5500,3.4500,3.4800,2911579
2022-02-08,3.5000,3.5200,3.4100,3.5200,2980244
2022-02-07,3.2700,3.5350,3.2700,3.5000,3541528
2022-02-04,3.2200,3.3100,3.2000,3.2400,5611147
2022-02-03,3.3200,3.4100,3.2720,3.3000,3009906
2022-02-02,3.5600,3.5800,3.4200,3.4200,2995705
2022-02-01,3.4700,3.6108,3.4410,3.5200,3613785
2022-01-31,3.2600,3.4200,3.2400,3.4200,4048827
2022-01-28,3.2500,3.2500,3.1600,3.2400,4136744
2022-01-27,3.3650,3.4499,3.2700,3.2800,4433834
2022-01-26,3.5500,3.6400,3.4150,3.4600,5227994
2022-01-25,3.4400,3.5900,3.4099,3.5700,4148310
2022-01-24,3.6300,3.6400,3.3500,3.5100,5651465
2022-01-21,3.9000,3.9400,3.6600,3.6700,4451528
2022-01-20,4.1000,4.1300,3.9000,3.9000,4135299
2022-01-19,3.7300,4.0500,3.7150,4.0000,6756438
2022-01-18,3.7000,3.7800,3.6200,3.6400,5179414
2022-01-14,3.7900,3.7900,3.6200,3.6600,2328064
2022-01-13,3.8000,3.8894,3.7400,3.7400,1884929
2022-01-12,3.7900,3.8400,3.7300,3.8300,2735380
2022-01-11,3.6500,3.7700,3.6200,3.7600,2585179
2022-01-10,3.5200,3.6300,3.5100,3.6300,3021082
2022-01-07,3.5800,3.6300,3.5300,3.6000,3091711
2022-01-06,3.6300,3.6900,3.5500,3.5500,3745537
2022-01-05,3.9800,4.0050,3.7200,3.7400,4964268
2022-01-04,3.9100,3.9800,3.8500,3.9100,3862757
2022-01-03,3.8700,3.9575,3.8100,3.9200,1671001
2021-12-31,3.9350,3.9600,3.8600,3.9000,2717396
2021-12-30,3.8200,3.9600,3.8000,3.9000,4219137
2021-12-29,3.9000,3.9450,3.8100,3.8200,4122025
2021-12-28,3.9900,4.0800,3.9400,3.9600,2800306
2021-12-27,3.9700,4.0800,3.9400,3.9900,2669009
2021-12-23,3.9500,4.0300,3.8500,3.9900,4472211
2021-12-22,3.8900,3.9599,3.8200,3.9500,3748636
2021-12-21,3.8500,3.9200,3.7300,3.8500,6543511
2021-12-20,3.6400,3.8600,3.6001,3.7900,13485212
2021-12-17,3.3000,3.3300,3.2100,3.2200,7258823
2021-12-16,3.2300,3.3300,3.1800,3.2600,6801786
2021-12-15,3.0800,3.0900,2.9135,3.0600,8105715
2021-12-14,3.1300,3.2100,3.0750,3.0800,4849296
2021-12-13,3.2100,3.3200,3.1700,3.2000,5821793
2021-12-10,3.3000,3.3300,3.2200,3.2400,3091673
2021-12-09,3.3800,3.4000,3.2650,3.2800,5437192
2021-12-08,3.4300,3.4800,3.3750,3.4600,3727828
2021-12-07,3.3800,3.5100,3.3800,3.4400,4204582
2021-12-06,3.2500,3.4100,3.2070,3.4000,4113219
2021-12-03,3.2800,3.3000,3.1700,3.2800,5367625
2021-12-02,3.2500,3.2800,3.1200,3.2600,5865218
2021-12-01,3.5100,3.5800,3.2500,3.2500,4872631
2021-11-30,3.4700,3.6400,3.3900,3.4800,5234838
2021-11-29,3.5300,3.5300,3.3900,3.4800,4600249
2021-11-26,3.6500,3.6550,3.4300,3.5200,4520893
2021-11-24,3.6200,3.6900,3.5838,3.6400,3190083
2021-11-23,3.7200,3.7945,3.5500,3.6600,7265389
2021-11-22,3.7900,3.8900,3.6300,3.8400,5688630
2021-11-19,3.9700,3.9950,3.8200,3.8300,3347733
2021-11-18,4.0050,4.0300,3.9000,3.9600,3801204
2021-11-17,3.9000,4.1200,3.9000,4.0500,7047705
2021-11-16,3.9800,4.0600,3.8700,3.8900,7725285
2021-11-15,3.8900,4.0400,3.7400,4.0000,16813157
2021-11-12,4.5900,4.6700,3.8100,3.8700,35493208
2021-11-11,5.3800,5.5200,4.8500,4.9400,10287289
2021-11-10,5.3600,5.5050,5.2100,5.2500,5064835
2021-11-09,5.1400,5.2070,5.0300,5.2000,2691466
2021-11-08,5.1900,5.2000,5.1050,5.1800,2981887
2021-11-05,4.9500,5.0900,4.8400,5.0900,2841837
2021-11-04,5.0700,5.1601,4.8400,4.8600,3250754
2021-11-03,4.8300,4.9600,4.7450,4.9400,3270959
2021-11-02,4.8900,4.9500,4.8400,4.9200,3235643
2021-11-01,4.8800,5.0400,4.8300,5.0000,2289915
2021-10-29,5.0800,5.1000,4.8500,4.8600,4532620
2021-10-28,5.0900,5.1800,5.0650,5.1400,3965776
2021-10-27,5.0700,5.1790,5.0100,5.1000,2837863
2021-10-26,5.0100,5.1000,4.9700,5.0900,3357115
2021-10-25,5.0000,5.1500,4.9200,5.0800,3923765
2021-10-22,4.9300,5.0700,4.8400,4.9100,5215624
2021-10-21,4.8000,4.8700,4.7350,4.8000,3305096
2021-10-20,4.7400,4.9000,4.6150,4.8100,3839559
2021-10-19,4.7100,4.7950,4.5550,4.6000,3976119
2021-10-18,4.6000,4.6200,4.4800,4.4800,2736331
2021-10-15,4.5200,4.6750,4.4794,4.6000,3971407
