timestamp,open,high,low,close,volume
2022-03-15,0.9000,0.9264,0.8613,0.9200,446617
2022-03-14,0.9657,0.9707,0.8767,0.8999,827346
2022-03-11,1.0500,1.0500,1.0000,1.0100,492898
2022-03-10,0.9950,1.0400,0.9900,1.0400,859583
2022-03-09,0.9500,1.0100,0.9302,0.9823,751987
2022-03-08,0.9850,1.0600,0.9711,0.9965,1866586
2022-03-07,0.9100,0.9600,0.8983,0.9480,1354977
2022-03-04,0.8500,0.8900,0.8454,0.8890,821538
2022-03-03,0.8624,0.8634,0.8219,0.8530,314866
2022-03-02,0.8550,0.8599,0.8304,0.8549,376050
2022-03-01,0.8200,0.8700,0.8012,0.8700,935071
2022-02-28,0.8302,0.8400,0.7500,0.7966,619130
2022-02-25,0.7900,0.8050,0.7725,0.8050,347063
2022-02-24,0.8400,0.8475,0.7801,0.7990,842002
2022-02-23,0.7900,0.8100,0.7800,0.8000,364607
2022-02-22,0.8100,0.8197,0.7709,0.7900,309850
2022-02-18,0.8001,0.8100,0.7738,0.7883,342571
2022-02-17,0.8300,0.8300,0.7911,0.8284,547630
2022-02-16,0.7800,0.8100,0.7800,0.8100,309623
2022-02-15,0.7900,0.7971,0.7525,0.7897,287864
2022-02-14,0.7950,0.8099,0.7820,0.7971,594182
2022-02-11,0.7315,0.7749,0.7311,0.7670,585664
2022-02-10,0.7400,0.7700,0.7229,0.7280,324801
2022-02-09,0.7450,0.7800,0.7385,0.7389,366756
2022-02-08,0.7300,0.7500,0.7300,0.7434,163293
2022-02-07,0.7100,0.7500,0.7100,0.7419,410168
2022-02-04,0.7100,0.7200,0.7071,0.7101,314882
2022-02-03,0.7183,0.7362,0.7017,0.7033,555260
2022-02-02,0.7799,0.7799,0.7300,0.7310,378581
2022-02-01,0.7450,0.7611,0.7411,0.7500,287813
2022-01-31,0.7200,0.7499,0.7186,0.7386,432300
2022-01-28,0.7540,0.7540,0.7000,0.7299,825741
2022-01-27,0.7790,0.7790,0.7400,0.7400,846377
2022-01-26,0.8115,0.8149,0.7701,0.7705,538987
2022-01-25,0.7840,0.8198,0.7800,0.8050,321289
2022-01-24,0.8200,0.8200,0.7550,0.7997,683869
2022-01-21,0.8900,0.8997,0.8019,0.8225,638821
2022-01-20,0.9200,0.9290,0.8707,0.8800,768387
2022-01-19,0.8300,0.9200,0.8202,0.9034,1533846
2022-01-18,0.8148,0.8189,0.7820,0.8111,598699
2022-01-14,0.7999,0.7999,0.7650,0.7869,441054
2022-01-13,0.7850,0.8099,0.7710,0.7820,410801
2022-01-12,0.7911,0.8062,0.7881,0.8062,400465
2022-01-11,0.7800,0.7950,0.7750,0.7889,459790
2022-01-10,0.8000,0.8000,0.7627,0.7749,423996
2022-01-07,0.7818,0.7945,0.7703,0.7900,273311
2022-01-06,0.8000,0.8047,0.7703,0.7770,605045
2022-01-05,0.8209,0.8500,0.8047,0.8050,360051
2022-01-04,0.8350,0.8459,0.8250,0.8407,245834
2022-01-03,0.8500,0.8600,0.8049,0.8400,266378
2021-12-31,0.8118,0.8610,0.8047,0.8610,699488
2021-12-30,0.8007,0.8255,0.8000,0.8125,346889
2021-12-29,0.8000,0.8300,0.8000,0.8053,383286
2021-12-28,0.8100,0.8300,0.8005,0.8071,521514
2021-12-27,0.8202,0.8344,0.8102,0.8205,451615
2021-12-23,0.8101,0.8600,0.8101,0.8480,368534
2021-12-22,0.8199,0.8300,0.7700,0.8200,433495
2021-12-21,0.8268,0.8298,0.8057,0.8161,396260
2021-12-20,0.8066,0.8147,0.7903,0.8100,281173
2021-12-17,0.8348,0.8378,0.8000,0.8101,300645
2021-12-16,0.7920,0.8326,0.7920,0.8218,519402
2021-12-15,0.7966,0.8000,0.7600,0.7844,573943
2021-12-14,0.7999,0.8052,0.7550,0.7999,643945
2021-12-13,0.8120,0.8160,0.7931,0.8052,357042
2021-12-10,0.8223,0.8300,0.8011,0.8027,233972
2021-12-09,0.8700,0.8743,0.8200,0.8202,386842
2021-12-08,0.8500,0.8685,0.8426,0.8649,261936
2021-12-07,0.8500,0.8660,0.8330,0.8533,232221
2021-12-06,0.8171,0.8492,0.8101,0.8469,438022
2021-12-03,0.8118,0.8375,0.7801,0.8353,708421
2021-12-02,0.8400,0.8400,0.8050,0.8160,481152
2021-12-01,0.8880,0.8900,0.8112,0.8277,583810
2021-11-30,0.8700,0.8890,0.8400,0.8760,729223
2021-11-29,0.9000,0.9100,0.8600,0.8767,543907
2021-11-26,0.9300,0.9300,0.8725,0.8965,280145
2021-11-24,0.9249,0.9499,0.9139,0.9282,255111
2021-11-23,0.9750,0.9990,0.9000,0.9400,1078394
2021-11-22,1.0000,1.0100,0.9569,0.9870,578602
2021-11-19,1.0400,1.0400,1.0000,1.0200,500071
2021-11-18,1.0500,1.0650,1.0100,1.0400,370465
2021-11-17,1.0700,1.0900,1.0400,1.0600,410368
2021-11-16,1.0500,1.0700,1.0400,1.0600,696884
2021-11-15,1.0500,1.0700,1.0100,1.0500,530267
2021-11-12,1.0200,1.0800,1.0200,1.0500,599981
2021-11-11,0.9672,1.0500,0.9672,1.0500,1346648
2021-11-10,1.0400,1.0500,0.9329,0.9472,1587311
2021-11-09,0.9769,1.0200,0.9573,1.0200,680430
2021-11-08,0.9604,0.9800,0.9604,0.9790,528728
2021-11-05,0.9451,0.9630,0.9300,0.9630,324705
2021-11-04,0.9550,0.9693,0.9451,0.9489,450122
2021-11-03,0.9328,0.9500,0.9200,0.9386,428394
2021-11-02,0.9650,0.9799,0.9114,0.9386,478287
2021-11-01,0.9400,0.9830,0.9221,0.9628,695337
2021-10-29,0.9600,0.9600,0.9050,0.9490,360280
2021-10-28,0.9330,0.9600,0.9200,0.9570,703654
2021-10-27,0.9100,0.9300,0.9098,0.9125,235611
2021-10-26,0.9228,0.9367,0.9100,0.9194,262399
2021-10-25,0.9250,0.9368,0.9100,0.9368,524574
2021-10-22,0.9399,0.9499,0.9050,0.9085,747922
2021-10-21,0.9484,0.9598,0.9150,0.9180,398605
