timestamp,open,high,low,close,volume
2022-03-15,9.7600,9.7700,9.7500,9.7600,529367
2022-03-14,9.7600,9.7750,9.7500,9.7500,1779914
2022-03-11,9.7543,9.7600,9.7500,9.7500,34090
2022-03-10,9.7400,9.7600,9.7400,9.7500,170474
2022-03-09,9.7600,9.7600,9.7500,9.7500,111334
2022-03-08,9.7500,9.7600,9.7500,9.7500,100215
2022-03-07,9.7600,9.7700,9.7600,9.7600,670721
2022-03-04,9.7600,9.7700,9.7500,9.7700,74080
2022-03-03,9.7600,9.7700,9.7500,9.7600,165755
2022-03-02,9.7500,9.7550,9.7500,9.7500,710
2022-03-01,9.7600,9.7600,9.7500,9.7500,233485
2022-02-28,9.7500,9.7600,9.7500,9.7500,87021
2022-02-25,9.7500,9.7600,9.7300,9.7600,99883
2022-02-24,9.7300,9.7600,9.7300,9.7500,60132
2022-02-23,9.7400,9.7500,9.7250,9.7400,364891
2022-02-22,9.7400,9.7457,9.7300,9.7400,27055
2022-02-18,9.7500,9.7500,9.7350,9.7450,62675
2022-02-17,9.7300,9.7600,9.7300,9.7500,2778016
2022-02-16,9.7700,9.7700,9.7400,9.7400,89779
2022-02-15,9.7450,9.7600,9.7400,9.7500,88047
2022-02-14,9.7000,9.7600,9.7000,9.7400,18608
2022-02-11,9.7500,9.7600,9.7300,9.7550,129164
2022-02-10,9.7400,9.7700,9.7400,9.7500,48473
2022-02-09,9.7600,9.7600,9.7300,9.7500,39682
2022-02-08,9.7500,9.7601,9.7400,9.7600,17505
2022-02-07,9.7500,9.7600,9.7400,9.7600,41363
2022-02-04,9.7700,9.7700,9.7225,9.7500,49771
2022-02-03,9.7600,9.7700,9.7400,9.7600,36936
2022-02-02,9.7300,9.7700,9.7300,9.7700,92334
2022-02-01,9.7100,9.7500,9.7100,9.7400,49625
2022-01-31,9.7100,9.7300,9.7100,9.7200,34893
2022-01-28,9.7000,9.7200,9.7000,9.7200,32932
2022-01-27,9.7200,9.7200,9.7000,9.7150,2597988
2022-01-26,9.7111,9.7300,9.7100,9.7100,155088
2022-01-25,9.7000,9.7300,9.7000,9.7200,771480
2022-01-24,9.7200,9.7400,9.7000,9.7000,143194
2022-01-21,9.7400,9.7400,9.7200,9.7400,1164821
2022-01-20,9.7300,9.7500,9.7300,9.7400,113445
2022-01-19,9.7300,9.7400,9.7300,9.7400,232058
2022-01-18,9.7300,9.7500,9.7000,9.7300,215143
2022-01-14,9.7600,9.7600,9.7400,9.7400,211170
2022-01-13,9.7800,9.7800,9.7600,9.7600,33525
2022-01-12,9.7600,9.7700,9.7600,9.7600,9311
2022-01-11,9.7600,9.7700,9.7500,9.7700,9403
2022-01-10,9.7900,9.7900,9.7500,9.7700,16220
2022-01-07,9.7500,9.7800,9.7500,9.7700,216378
2022-01-06,9.7900,9.7900,9.7500,9.7600,38331
